# C1    C2   C3     C4      T
10.00 0.00 0.00 311.00 1023.00
9.00 0.00 0.00 313.00 1023.00
9.00 0.00 0.00 310.00 1023.00
10.00 0.00 0.00 309.00 1023.00
9.00 0.00 0.00 313.00 1023.00
13.00 0.00 0.00 312.00 1023.00
10.00 0.00 0.00 312.00 1023.00
10.00 0.00 0.00 334.00 1023.00
12.00 0.00 0.00 306.00 1023.00
9.00 0.00 0.00 303.00 1023.00
7.00 0.00 0.00 291.00 1023.00
7.00 0.00 0.00 269.00 1023.00
23.00 0.00 0.00 245.00 1023.00
15.00 0.00 0.00 233.00 1023.00
11.00 0.00 0.00 221.00 1023.00
10.00 0.00 0.00 215.00 1023.00
8.00 0.00 0.00 212.00 1023.00
10.00 0.00 0.00 251.00 1023.00
14.00 0.00 13.00 214.00 1023.00
15.00 0.00 9.00 217.00 1023.00
12.00 0.00 7.00 148.00 1023.00
13.00 0.00 10.00 71.00 1023.00
11.00 0.00 7.00 28.00 1023.00
0.00 0.00 9.00 6.00 1023.00
7.00 0.00 0.00 0.00 1023.00
7.00 0.00 7.00 0.00 1023.00
6.00 0.00 0.00 0.00 1023.00
7.00 0.00 0.00 0.00 1023.00
9.00 0.00 9.00 0.00 1023.00
7.00 0.00 5.00 0.00 1023.00
7.00 0.00 0.00 0.00 1023.00
7.00 0.00 0.00 0.00 1023.00
10.00 0.00 0.00 2.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 1.00 1023.00
0.00 0.00 0.00 1.00 1023.00
