# C1    C2   C3     C4      T
77.00 0.00 0.00 0.00 1023.00
76.00 0.00 0.00 0.00 1023.00
76.00 0.00 0.00 0.00 1023.00
80.00 0.00 0.00 0.00 1023.00
98.00 0.00 0.00 0.00 1023.00
113.00 0.00 0.00 0.00 1023.00
114.00 0.00 0.00 0.00 1023.00
118.00 0.00 0.00 0.00 1023.00
121.00 0.00 0.00 0.00 1023.00
124.00 0.00 0.00 0.00 1023.00
126.00 0.00 0.00 0.00 1023.00
127.00 0.00 0.00 0.00 1023.00
127.00 0.00 0.00 0.00 1023.00
135.00 0.00 0.00 0.00 1023.00
137.00 0.00 0.00 0.00 1023.00
139.00 0.00 0.00 0.00 1023.00
136.00 0.00 0.00 0.00 1023.00
136.00 0.00 0.00 0.00 1023.00
135.00 0.00 0.00 0.00 1023.00
135.00 0.00 0.00 0.00 1023.00
136.00 0.00 0.00 0.00 1023.00
136.00 0.00 0.00 0.00 1023.00
139.00 0.00 0.00 0.00 1023.00
140.00 0.00 0.00 0.00 1023.00
140.00 0.00 0.00 0.00 1023.00
136.00 0.00 0.00 0.00 1023.00
136.00 0.00 0.00 0.00 1023.00
136.00 0.00 0.00 0.00 1023.00
135.00 0.00 0.00 0.00 1023.00
135.00 0.00 0.00 0.00 1023.00
135.00 0.00 0.00 0.00 1023.00
139.00 0.00 0.00 0.00 1023.00
139.00 0.00 0.00 0.00 1023.00
136.00 0.00 0.00 0.00 1023.00
136.00 0.00 0.00 0.00 1023.00
136.00 0.00 0.00 0.00 1023.00
135.00 0.00 0.00 0.00 1023.00
134.00 0.00 0.00 0.00 1023.00
137.00 0.00 0.00 0.00 1023.00
137.00 0.00 0.00 0.00 1023.00
137.00 0.00 0.00 0.00 1023.00
135.00 0.00 0.00 0.00 1023.00
134.00 0.00 0.00 0.00 1023.00
135.00 0.00 0.00 0.00 1023.00
133.00 0.00 0.00 0.00 1023.00
132.00 0.00 0.00 0.00 1023.00
147.00 0.00 0.00 0.00 1023.00
169.00 0.00 0.00 0.00 1023.00
183.00 0.00 0.00 0.00 1023.00
192.00 0.00 0.00 0.00 1023.00
189.00 0.00 0.00 0.00 1023.00
198.00 0.00 0.00 0.00 1023.00
196.00 0.00 0.00 0.00 1023.00
194.00 0.00 0.00 0.00 1023.00
193.00 0.00 0.00 0.00 1023.00
198.00 0.00 0.00 0.00 1023.00
205.00 0.00 0.00 0.00 1023.00
198.00 0.00 0.00 0.00 1023.00
204.00 0.00 0.00 0.00 1023.00
199.00 0.00 0.00 0.00 1023.00
198.00 0.00 0.00 0.00 1023.00
200.00 0.00 0.00 0.00 1023.00
195.00 0.00 0.00 0.00 1023.00
196.00 0.00 0.00 0.00 1023.00
191.00 0.00 0.00 0.00 1023.00
187.00 0.00 0.00 0.00 1023.00
200.00 0.00 0.00 0.00 1023.00
198.00 0.00 0.00 0.00 1023.00
199.00 0.00 0.00 0.00 1023.00
204.00 0.00 0.00 0.00 1023.00
205.00 0.00 0.00 0.00 1023.00
200.00 0.00 0.00 0.00 1023.00
199.00 0.00 0.00 0.00 1023.00
202.00 0.00 0.00 0.00 1023.00
200.00 0.00 0.00 0.00 1023.00
199.00 0.00 0.00 0.00 1023.00
199.00 0.00 0.00 0.00 1023.00
202.00 0.00 0.00 0.00 1023.00
